Year,Tm,DrAV
2010,PIT,21.1
2010,SDG,13.333333333333334
2010,SEA,20.333333333333332
2010,SFO,19.125
2010,STL,8.363636363636363
2010,TAM,13.0
2010,TEN,9.222222222222221
2010,WAS,14.5
2011,ARI,16.125
2011,ATL,23.333333333333332
2011,BAL,11.625
2011,BUF,10.777777777777779
2011,CAR,14.625
2011,CHI,8.0
2011,CIN,24.875
2011,CLE,11.375
2011,DAL,18.125
2011,DEN,20.0
2011,DET,6.0
2011,GNB,8.0
2011,HOU,21.375
2011,IND,13.2
2011,JAX,7.0
2011,KAN,11.777777777777779
2011,MIA,12.166666666666666
2011,MIN,8.9
2011,NOR,24.5
2011,NWE,14.444444444444445
2011,NYG,5.0
2011,NYJ,18.833333333333332
2011,OAK,5.625
2011,PHI,11.272727272727273
2011,PIT,20.285714285714285
2011,SDG,10.5
2011,SEA,21.22222222222222
2011,SFO,13.1
2011,STL,8.125
2011,TAM,5.875
2011,TEN,15.11111111111111
2011,WAS,10.416666666666666
2012,ARI,9.0
2012,ATL,5.666666666666667
2012,BAL,8.875
2012,BUF,8.444444444444445
2012,CAR,20.857142857142858
2012,CHI,8.166666666666666
2012,CIN,12.5
2012,CLE,6.7272727272727275
2012,DAL,8.714285714285714
2012,DEN,15.0
2012,DET,8.5
2012,GNB,8.75
2012,HOU,13.875
2012,IND,18.7
2012,JAX,5.666666666666667
2012,KAN,9.375
2012,MIA,12.0
2012,MIN,15.2
2012,NOR,5.2
2012,NWE,16.571428571428573
2012,NYG,6.0
2012,NYJ,7.375
2012,OAK,3.3333333333333335
2012,PHI,20.22222222222222
2012,PIT,11.777777777777779
2012,SDG,14.142857142857142
2012,SEA,31.0
2012,SFO,0.7142857142857143
2012,STL,14.9
2012,TAM,18.857142857142858
2012,TEN,8.428571428571429
2012,WAS,13.88888888888889
2013,ARI,10.555555555555555
2013,ATL,10.75
2013,BAL,10.4
2013,BUF,6.375
2013,CAR,15.6
2013,CHI,11.833333333333334
2013,CIN,9.5
2013,CLE,3.2
2013,DAL,16.142857142857142
2013,DEN,4.857142857142857
2013,DET,17.22222222222222
2013,GNB,14.272727272727273
2013,HOU,8.222222222222221
2013,IND,4.571428571428571
2013,JAX,9.875
2013,KAN,17.875
2013,MIA,5.0
2013,MIN,9.777777777777779
2013,NOR,19.4
2013,NWE,11.571428571428571
2013,NYG,6.285714285714286
2013,NYJ,12.285714285714286
2013,OAK,6.5
2013,PHI,15.875
2013,PIT,14.333333333333334
2013,SDG,19.166666666666668
2013,SEA,2.909090909090909
2013,SFO,5.636363636363637
2013,STL,13.428571428571429
2013,TAM,12.166666666666666
2013,TEN,7.25
2013,WAS,7.571428571428571
2014,ARI,9.0
2014,ATL,15.555555555555555
2014,BAL,11.666666666666666
2014,BUF,10.142857142857142
2014,CAR,15.333333333333334
2014,CHI,14.125
2014,CIN,9.25
2014,CLE,15.666666666666666
2014,DAL,17.22222222222222
2014,DEN,9.666666666666666
2014,DET,8.5
2014,GNB,17.22222222222222
2014,HOU,10.1
2014,IND,8.4
2014,JAX,19.22222222222222
2014,KAN,13.666666666666666
2014,MIA,8.875
2014,MIN,12.8
2014,NOR,3.6666666666666665
2014,NWE,7.555555555555555
2014,NYG,12.714285714285714
2014,NYJ,3.0
2014,OAK,23.875
2014,PHI,6.142857142857143
2014,PIT,9.777777777777779
2014,SDG,4.833333333333333
2014,SEA,6.666666666666667
2014,SFO,7.75
2014,STL,15.272727272727273
2014,TAM,15.833333333333334
2014,TEN,19.833333333333332
2014,WAS,11.875
2015,ARI,17.142857142857142
2015,ATL,16.142857142857142
2015,BAL,5.666666666666667
2015,BUF,6.166666666666667
2015,CAR,17.0
2015,CHI,11.0
2015,CIN,5.444444444444445
2015,CLE,4.583333333333333
2015,DAL,7.125
2015,DEN,5.777777777777778
2015,DET,5.857142857142857
2015,GNB,6.625
2015,HOU,8.857142857142858
2015,IND,6.375
2015,JAX,8.125
2015,KAN,11.444444444444445
2015,MIA,11.857142857142858
2015,MIN,16.9
2015,NOR,10.555555555555555
2015,NWE,10.363636363636363
2015,NYG,9.666666666666666
2015,NYJ,7.166666666666667
2015,OAK,5.3
2015,PHI,6.666666666666667
2015,PIT,7.25
2015,SDG,18.8
2015,SEA,10.25
2015,SFO,8.6
2015,STL,13.555555555555555
2015,TAM,24.0
2015,TEN,6.444444444444445
2015,WAS,11.2
2016,ARI,2.8333333333333335
2016,ATL,19.166666666666668
2016,BAL,10.090909090909092
2016,BUF,3.142857142857143
2016,CAR,7.4
2016,CHI,12.777777777777779
2016,CIN,13.285714285714286
2016,CLE,7.0
2016,DAL,23.11111111111111
2016,DEN,12.375
2016,DET,10.4
